window_id,window_start_date,window_end_date,close_approach_count,closest_distance_au,fastest_velocity_relative_km_s,object_designations,close_approach_datetimes_tdb,window_note
CAW_0072,2004-03-07,2004-03-21,9,0.000328210504,15.6619,2025 UC11 | 2004 FX1 | 2004 FM4 | 2004 EU22 | 2004 EL20 | 2004 FY3 | 2021 SB2 | 2004 FH | 2004 FY1,2004-Mar-07 21:26 | 2004-Mar-11 08:25 | 2004-Mar-14 08:08 | 2004-Mar-15 23:49 | 2004-Mar-16 20:16 | 2004-Mar-17 07:38 | 2004-Mar-18 02:07 | 2004-Mar-18 22:09 | 2004-Mar-20 01:47,Close approaches <= 0.02 au inside 14-day window
CAW_0073,2004-03-22,2004-04-05,8,8.6318969e-05,14.482598,2026 FN5 | 2004 FK5 | 2004 FN8 | 2004 FM32 | 2004 FA | 2004 FY15 | 2004 FU162 | 2004 FG29,2004-Mar-22 14:00 | 2004-Mar-23 15:33 | 2004-Mar-24 23:21 | 2004-Mar-25 19:00 | 2004-Mar-26 03:33 | 2004-Mar-27 20:22 | 2004-Mar-31 15:35 | 2004-Apr-02 03:19,Close approaches <= 0.02 au inside 14-day window
CAW_0031,2001-11-08,2001-11-22,8,0.000803236221,17.735229,2001 VM5 | 2017 VW13 | 2012 VC26 | 2001 VG16 | 2001 VE2 | 2001 WJ15 | 2001 XP31 | 2001 WJ4,2001-Nov-08 04:26 | 2001-Nov-08 10:53 | 2001-Nov-11 09:21 | 2001-Nov-13 04:07 | 2001-Nov-17 02:29 | 2001-Nov-17 16:04 | 2001-Nov-18 10:01 | 2001-Nov-20 20:35,Close approaches <= 0.02 au inside 14-day window
CAW_0089,2004-12-12,2004-12-26,7,0.000226525127,25.354089,2004 XG29 | 2004 YC | 2025 YC | 2004 XO63 | 2004 XB45 | 2004 YD5 | 184266,2004-Dec-12 06:39 | 2004-Dec-13 11:40 | 2004-Dec-16 12:58 | 2004-Dec-16 16:10 | 2004-Dec-16 19:10 | 2004-Dec-19 20:38 | 2004-Dec-24 10:31,Close approaches <= 0.02 au inside 14-day window
CAW_0074,2004-04-07,2004-04-21,7,0.000891153407,18.250828,2020 TW1 | 2008 GF1 | 2004 HM | 2004 HL | 2004 HE | 2023 DZ2 | 2004 GD,2004-Apr-07 02:10 | 2004-Apr-07 19:54 | 2004-Apr-13 08:47 | 2004-Apr-14 18:47 | 2004-Apr-18 00:21 | 2004-Apr-18 23:27 | 2004-Apr-20 04:18,Close approaches <= 0.02 au inside 14-day window
CAW_0083,2004-09-13,2004-09-27,7,0.001718378155,21.380358,2004 RU109 | 2004 RN251 | 2004 SE26 | 2004 SR26 | 2004 ST26 | 2021 TH1 | 2016 TT,2004-Sep-13 15:43 | 2004-Sep-18 08:27 | 2004-Sep-19 09:11 | 2004-Sep-20 17:15 | 2004-Sep-21 23:32 | 2004-Sep-25 04:21 | 2004-Sep-26 04:38,Close approaches <= 0.02 au inside 14-day window
CAW_0055,2003-04-24,2003-05-08,7,0.002206299862,18.418244,2023 UY3 | 2003 JX2 | 2003 JY2 | 2003 HW10 | 2003 HT42 | 2008 WO2 | 2003 JO14,2003-Apr-24 09:10 | 2003-Apr-27 17:59 | 2003-Apr-28 20:45 | 2003-Apr-29 06:24 | 2003-May-03 06:59 | 2003-May-04 04:24 | 2003-May-05 22:25,Close approaches <= 0.02 au inside 14-day window
CAW_0067,2003-11-30,2003-12-14,6,0.000990617055,16.928812,2003 WT153 | 2003 WP7 | 2003 XH10 | 2003 XJ7 | 2003 XV | 2025 PF2,2003-Nov-30 19:05 | 2003-Dec-04 06:58 | 2003-Dec-04 15:32 | 2003-Dec-06 19:04 | 2003-Dec-06 22:45 | 2003-Dec-06 23:10,Close approaches <= 0.02 au inside 14-day window
CAW_0052,2003-03-01,2003-03-15,6,0.003622675311,20.750653,2003 DH6 | 2003 DW10 | 2003 DY15 | 2003 EM1 | 2022 EE5 | 2003 EP4,2003-Mar-01 20:40 | 2003-Mar-03 06:13 | 2003-Mar-05 20:26 | 2003-Mar-07 01:26 | 2003-Mar-10 19:25 | 2003-Mar-12 08:35,Close approaches <= 0.02 au inside 14-day window
CAW_0014,2000-10-15,2000-10-29,6,0.004723443992,14.069302,2023 FK1 | 2019 UX1 | 2015 UH52 | 2024 JF | 2000 UR16 | 2022 WS8,2000-Oct-15 10:08 | 2000-Oct-17 21:15 | 2000-Oct-19 21:11 | 2000-Oct-21 19:32 | 2000-Oct-23 14:15 | 2000-Oct-23 15:46,Close approaches <= 0.02 au inside 14-day window
CAW_0086,2004-10-28,2004-11-11,6,0.005198443955,17.277882,2004 UT1 | 2019 UT8 | 2004 VZ14 | 2022 JF | 2004 VZ | 2004 UR,2004-Oct-28 16:40 | 2004-Oct-28 22:19 | 2004-Oct-31 12:03 | 2004-Nov-03 01:05 | 2004-Nov-08 14:18 | 2004-Nov-08 23:23,Close approaches <= 0.02 au inside 14-day window
CAW_0088,2004-11-27,2004-12-11,6,0.006223646646,11.885361,2004 XG | 2004 XK | 2004 XP35 | 2004 RZ164 | 2015 XT378 | 2021 WV1,2004-Nov-27 02:30 | 2004-Dec-05 23:00 | 2004-Dec-07 13:29 | 2004-Dec-08 08:12 | 2004-Dec-09 20:25 | 2004-Dec-09 21:26,Close approaches <= 0.02 au inside 14-day window
CAW_0029,2001-09-26,2001-10-10,6,0.006432484629,14.246233,2001 SP263 | 2001 SE270 | 2001 TY1 | 2001 TD | 2017 FQ127 | 2001 TB,2001-Sep-26 07:50 | 2001-Sep-29 16:50 | 2001-Oct-04 10:14 | 2001-Oct-05 02:35 | 2001-Oct-05 20:58 | 2001-Oct-08 15:35,Close approaches <= 0.02 au inside 14-day window
