candidate_id,candidate_name,candidate_type,object_designation,sentry_match_status,sentry_object_fullname,year_range,potential_impact_count,cumulative_impact_probability,palermo_scale_cumulative,palermo_scale_maximum,torino_scale_maximum,estimated_diameter_km,crosscheck_note
HEF_0011,HEF_0011,high_energy_fireball_window,,not_applicable,,,,,,,,,Candidate is not a specific asteroid/comet object.
HEF_0097,HEF_0097,high_energy_fireball_window,,not_applicable,,,,,,,,,Candidate is not a specific asteroid/comet object.
HEF_0055,HEF_0055,high_energy_fireball_window,,not_applicable,,,,,,,,,Candidate is not a specific asteroid/comet object.
HEF_0125,HEF_0125,high_energy_fireball_window,,not_applicable,,,,,,,,,Candidate is not a specific asteroid/comet object.
HEF_0013,HEF_0013,high_energy_fireball_window,,not_applicable,,,,,,,,,Candidate is not a specific asteroid/comet object.
HEF_0081,HEF_0081,high_energy_fireball_window,,not_applicable,,,,,,,,,Candidate is not a specific asteroid/comet object.
HEF_0140,HEF_0140,high_energy_fireball_window,,not_applicable,,,,,,,,,Candidate is not a specific asteroid/comet object.
HEF_0093,HEF_0093,high_energy_fireball_window,,not_applicable,,,,,,,,,Candidate is not a specific asteroid/comet object.
HEF_0036,HEF_0036,high_energy_fireball_window,,not_applicable,,,,,,,,,Candidate is not a specific asteroid/comet object.
HEF_0148,HEF_0148,high_energy_fireball_window,,not_applicable,,,,,,,,,Candidate is not a specific asteroid/comet object.
HEF_0122,HEF_0122,high_energy_fireball_window,,not_applicable,,,,,,,,,Candidate is not a specific asteroid/comet object.
HEF_0126,HEF_0126,high_energy_fireball_window,,not_applicable,,,,,,,,,Candidate is not a specific asteroid/comet object.
CAW_0072,CAW_0072,close_approach_window,2025 UC11,not_matched_in_fetched_sentry,,,,,,,,,No match in the current fetched Sentry table. This is not proof of zero risk; it only means no match in this run's Sentry data.
CAW_0072,CAW_0072,close_approach_window,2004 FX1,not_matched_in_fetched_sentry,,,,,,,,,No match in the current fetched Sentry table. This is not proof of zero risk; it only means no match in this run's Sentry data.
CAW_0072,CAW_0072,close_approach_window,2004 FM4,matched_sentry,(2004 FM4),2110-2119,3,2.29213e-08,-7.60,-7.84,0,0.042,Object appears in the current fetched CNEOS Sentry table.
CAW_0072,CAW_0072,close_approach_window,2004 EU22,not_matched_in_fetched_sentry,,,,,,,,,No match in the current fetched Sentry table. This is not proof of zero risk; it only means no match in this run's Sentry data.
CAW_0072,CAW_0072,close_approach_window,2004 EL20,not_matched_in_fetched_sentry,,,,,,,,,No match in the current fetched Sentry table. This is not proof of zero risk; it only means no match in this run's Sentry data.
CAW_0072,CAW_0072,close_approach_window,2004 FY3,matched_sentry,(2004 FY3),2116-2122,5,7.8026e-07,-6.45,-6.69,0,0.032,Object appears in the current fetched CNEOS Sentry table.
CAW_0072,CAW_0072,close_approach_window,2021 SB2,not_matched_in_fetched_sentry,,,,,,,,,No match in the current fetched Sentry table. This is not proof of zero risk; it only means no match in this run's Sentry data.
CAW_0072,CAW_0072,close_approach_window,2004 FH,not_matched_in_fetched_sentry,,,,,,,,,No match in the current fetched Sentry table. This is not proof of zero risk; it only means no match in this run's Sentry data.
CAW_0072,CAW_0072,close_approach_window,2004 FY1,not_matched_in_fetched_sentry,,,,,,,,,No match in the current fetched Sentry table. This is not proof of zero risk; it only means no match in this run's Sentry data.
CAW_0073,CAW_0073,close_approach_window,2026 FN5,not_matched_in_fetched_sentry,,,,,,,,,No match in the current fetched Sentry table. This is not proof of zero risk; it only means no match in this run's Sentry data.
CAW_0073,CAW_0073,close_approach_window,2004 FK5,not_matched_in_fetched_sentry,,,,,,,,,No match in the current fetched Sentry table. This is not proof of zero risk; it only means no match in this run's Sentry data.
CAW_0073,CAW_0073,close_approach_window,2004 FN8,not_matched_in_fetched_sentry,,,,,,,,,No match in the current fetched Sentry table. This is not proof of zero risk; it only means no match in this run's Sentry data.
CAW_0073,CAW_0073,close_approach_window,2004 FM32,not_matched_in_fetched_sentry,,,,,,,,,No match in the current fetched Sentry table. This is not proof of zero risk; it only means no match in this run's Sentry data.
CAW_0073,CAW_0073,close_approach_window,2004 FA,not_matched_in_fetched_sentry,,,,,,,,,No match in the current fetched Sentry table. This is not proof of zero risk; it only means no match in this run's Sentry data.
CAW_0073,CAW_0073,close_approach_window,2004 FY15,not_matched_in_fetched_sentry,,,,,,,,,No match in the current fetched Sentry table. This is not proof of zero risk; it only means no match in this run's Sentry data.
CAW_0073,CAW_0073,close_approach_window,2004 FU162,not_matched_in_fetched_sentry,,,,,,,,,No match in the current fetched Sentry table. This is not proof of zero risk; it only means no match in this run's Sentry data.
CAW_0073,CAW_0073,close_approach_window,2004 FG29,not_matched_in_fetched_sentry,,,,,,,,,No match in the current fetched Sentry table. This is not proof of zero risk; it only means no match in this run's Sentry data.
CAW_0031,CAW_0031,close_approach_window,2001 VM5,not_matched_in_fetched_sentry,,,,,,,,,No match in the current fetched Sentry table. This is not proof of zero risk; it only means no match in this run's Sentry data.
CAW_0031,CAW_0031,close_approach_window,2017 VW13,not_matched_in_fetched_sentry,,,,,,,,,No match in the current fetched Sentry table. This is not proof of zero risk; it only means no match in this run's Sentry data.
